feature,mean_abs_shap
price_rol_min_7d,1.5204065357959402
price_rol_mean_7d,1.3123191416773554
price_rol_max_7d,0.7904722589111843
price_diff_1d,0.38983261291318244
price_rol_mean_14d,0.23365821027651845
price_vs_market_avg,0.18871379798061505
price_lag_1d,0.15362771084153
price_rol_std_7d,0.04975615566962697
market_avg_price,0.04912452664225284
price_rank,0.03796124541724442
price_rol_std_14d,0.016605063463004454
price_lag_7d,0.010457994506501884
market_std_price,0.005695414086591691
supermarket_Aldi,1.3986084225632782e-05
week_of_year,2.8101960223158913e-07
category_drinks,1.6374366360093865e-07
day_of_month,0.0
day_of_week,0.0
own_brand,0.0
month,0.0
supermarket_Morrisons,0.0
supermarket_Sains,0.0
supermarket_Tesco,0.0
category_bakery,0.0
category_food_cupboard,0.0
category_free-from,0.0
category_fresh_food,0.0
category_frozen,0.0
category_health_products,0.0
category_home,0.0
category_household,0.0
category_pets,0.0
